kode_plat;provinsi;kode_akhir_awal;wilayah
KT;Kalimantan Timur;A**/K*/L*/Y*/Z*;Kota Balikpapan
KT;Kalimantan Timur;B**/I*/M*/N*/W*/X*;Kota Samarinda
KT;Kalimantan Timur;C**/O*/U*;Kabupaten Kutai Kartanegara
KT;Kalimantan Timur;D**/Q*;Kota Bontang
KT;Kalimantan Timur;E**;Kabupaten Paser
KT;Kalimantan Timur;G**;Kabupaten Berau
KT;Kalimantan Timur;P**;Kabupaten Kutai Barat
KT;Kalimantan Timur;R**;Kabupaten Kutai Timur
KT;Kalimantan Timur;V*;Kabupaten Penajam Paser Utara
;;;
DB;Sulawesi Utara;A*/L*/M*/R*;Kota Manado
DB;Sulawesi Utara;B*;Kabupaten Minahasa
DB;Sulawesi Utara;C*;Kota Bitung
DB;Sulawesi Utara;D*;Kabupaten Bolaang Mongondow
DB;Sulawesi Utara;E*;Kabupaten Minahasa Selatan
DB;Sulawesi Utara;F*;Kabupaten Minahasa Utara
DB;Sulawesi Utara;G*;Kota Tomohon
DB;Sulawesi Utara;H*;Kabupaten Bolaang Mongondow Utara
DB;Sulawesi Utara;J*;Kabupaten Minahasa Tenggara
DB;Sulawesi Utara;K*;Kota Kotamobagu
DB;Sulawesi Utara;N*;Kabupaten Bolaang Mongondow Timur
DB;Sulawesi Utara;P*;Kabupaten Bolaang Mongondow Selatan
;;;
DC;Sulawesi Barat;A*;Kabupaten Mamuju
DC;Sulawesi Barat;B*;Kabupaten Majene
DC;Sulawesi Barat;C*;Kabupaten Polewali Mandar
DC;Sulawesi Barat;D*;Kabupaten Mamasa
DC;Sulawesi Barat;E*;Kabupaten Mamuju Utara
;;;
DD;Sulawesi Selatan;A*/K*/Q*;Kota Makassar
DD;Sulawesi Selatan;B*/L*;Kabupaten Gowa
DD;Sulawesi Selatan;C*;Kabupaten Takalar
DD;Sulawesi Selatan;D*;Kabupaten Maros
DD;Sulawesi Selatan;E*;Kabupaten Pangkajene Kepulauan
DD;Sulawesi Selatan;F*;Kabupaten Bantaeng
DD;Sulawesi Selatan;G*;Kabupaten Jeneponto
DD;Sulawesi Selatan;H*;Kabupaten Bulukumba
DD;Sulawesi Selatan;J*;Kabupaten Selayar
;;;
